[2025-10-02 23:22:34,359][main_train.py][line:84][INFO] Epoch:[39/300]	 Test acc=82.680	 Test avg_spikes=0.000

[2025-10-02 23:22:34,369][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:22:37,822][main_train.py][line:80][INFO] Epoch:[40/300]	 loss=132.75037	 acc=72.226	 avg_spikes=0.000
[2025-10-02 23:22:38,317][main_train.py][line:84][INFO] Epoch:[40/300]	 Test acc=79.540	 Test avg_spikes=0.000

[2025-10-02 23:22:38,317][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:22:42,003][main_train.py][line:80][INFO] Epoch:[41/300]	 loss=132.66644	 acc=72.408	 avg_spikes=0.000
[2025-10-02 23:22:42,543][main_train.py][line:84][INFO] Epoch:[41/300]	 Test acc=73.730	 Test avg_spikes=0.000

[2025-10-02 23:22:42,543][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:22:46,600][main_train.py][line:80][INFO] Epoch:[42/300]	 loss=133.21800	 acc=72.328	 avg_spikes=0.000
[2025-10-02 23:22:47,096][main_train.py][line:84][INFO] Epoch:[42/300]	 Test acc=79.870	 Test avg_spikes=0.000

[2025-10-02 23:22:47,096][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:22:50,589][main_train.py][line:80][INFO] Epoch:[43/300]	 loss=131.73289	 acc=72.538	 avg_spikes=0.000
[2025-10-02 23:22:51,114][main_train.py][line:84][INFO] Epoch:[43/300]	 Test acc=79.290	 Test avg_spikes=0.000

[2025-10-02 23:22:51,114][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:22:54,472][main_train.py][line:80][INFO] Epoch:[44/300]	 loss=131.48170	 acc=72.780	 avg_spikes=0.000
[2025-10-02 23:22:54,992][main_train.py][line:84][INFO] Epoch:[44/300]	 Test acc=78.380	 Test avg_spikes=0.000

[2025-10-02 23:22:54,992][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:22:58,609][main_train.py][line:80][INFO] Epoch:[45/300]	 loss=130.63586	 acc=72.844	 avg_spikes=0.000
[2025-10-02 23:22:59,136][main_train.py][line:84][INFO] Epoch:[45/300]	 Test acc=79.520	 Test avg_spikes=0.000

[2025-10-02 23:22:59,136][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:02,631][main_train.py][line:80][INFO] Epoch:[46/300]	 loss=131.39245	 acc=72.494	 avg_spikes=0.000
[2025-10-02 23:23:03,164][main_train.py][line:84][INFO] Epoch:[46/300]	 Test acc=80.700	 Test avg_spikes=0.000

[2025-10-02 23:23:03,164][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:07,231][main_train.py][line:80][INFO] Epoch:[47/300]	 loss=129.75256	 acc=72.940	 avg_spikes=0.000
[2025-10-02 23:23:07,751][main_train.py][line:84][INFO] Epoch:[47/300]	 Test acc=82.660	 Test avg_spikes=0.000

[2025-10-02 23:23:07,751][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:11,521][main_train.py][line:80][INFO] Epoch:[48/300]	 loss=129.56554	 acc=72.870	 avg_spikes=0.000
[2025-10-02 23:23:12,048][main_train.py][line:84][INFO] Epoch:[48/300]	 Test acc=74.250	 Test avg_spikes=0.000

[2025-10-02 23:23:12,048][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:15,432][main_train.py][line:80][INFO] Epoch:[49/300]	 loss=128.84176	 acc=73.386	 avg_spikes=0.000
[2025-10-02 23:23:15,965][main_train.py][line:84][INFO] Epoch:[49/300]	 Test acc=76.970	 Test avg_spikes=0.000

[2025-10-02 23:23:15,965][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:19,481][main_train.py][line:80][INFO] Epoch:[50/300]	 loss=129.57935	 acc=73.030	 avg_spikes=0.000
[2025-10-02 23:23:20,022][main_train.py][line:84][INFO] Epoch:[50/300]	 Test acc=80.020	 Test avg_spikes=0.000

[2025-10-02 23:23:20,022][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:23,473][main_train.py][line:80][INFO] Epoch:[51/300]	 loss=130.10877	 acc=72.900	 avg_spikes=0.000
[2025-10-02 23:23:24,005][main_train.py][line:84][INFO] Epoch:[51/300]	 Test acc=78.570	 Test avg_spikes=0.000

[2025-10-02 23:23:24,006][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:27,317][main_train.py][line:80][INFO] Epoch:[52/300]	 loss=130.05888	 acc=73.008	 avg_spikes=0.000
[2025-10-02 23:23:27,822][main_train.py][line:84][INFO] Epoch:[52/300]	 Test acc=80.580	 Test avg_spikes=0.000

[2025-10-02 23:23:27,822][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:31,606][main_train.py][line:80][INFO] Epoch:[53/300]	 loss=128.20784	 acc=73.232	 avg_spikes=0.000
[2025-10-02 23:23:32,092][main_train.py][line:84][INFO] Epoch:[53/300]	 Test acc=80.450	 Test avg_spikes=0.000

[2025-10-02 23:23:32,092][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:35,822][main_train.py][line:80][INFO] Epoch:[54/300]	 loss=127.45445	 acc=73.278	 avg_spikes=0.000
[2025-10-02 23:23:36,326][main_train.py][line:84][INFO] Epoch:[54/300]	 Test acc=80.100	 Test avg_spikes=0.000

[2025-10-02 23:23:36,326][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:39,590][main_train.py][line:80][INFO] Epoch:[55/300]	 loss=128.26636	 acc=73.240	 avg_spikes=0.000
[2025-10-02 23:23:40,110][main_train.py][line:84][INFO] Epoch:[55/300]	 Test acc=81.450	 Test avg_spikes=0.000

[2025-10-02 23:23:40,110][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:43,552][main_train.py][line:80][INFO] Epoch:[56/300]	 loss=127.11234	 acc=73.434	 avg_spikes=0.000
[2025-10-02 23:23:44,058][main_train.py][line:84][INFO] Epoch:[56/300]	 Test acc=81.380	 Test avg_spikes=0.000

[2025-10-02 23:23:44,058][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:47,572][main_train.py][line:80][INFO] Epoch:[57/300]	 loss=127.95276	 acc=73.170	 avg_spikes=0.000
[2025-10-02 23:23:48,077][main_train.py][line:84][INFO] Epoch:[57/300]	 Test acc=76.980	 Test avg_spikes=0.000

[2025-10-02 23:23:48,077][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:51,893][main_train.py][line:80][INFO] Epoch:[58/300]	 loss=126.23951	 acc=73.788	 avg_spikes=0.000
[2025-10-02 23:23:52,424][main_train.py][line:84][INFO] Epoch:[58/300]	 Test acc=79.030	 Test avg_spikes=0.000

[2025-10-02 23:23:52,424][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:56,115][main_train.py][line:80][INFO] Epoch:[59/300]	 loss=127.70276	 acc=73.414	 avg_spikes=0.000
[2025-10-02 23:23:56,649][main_train.py][line:84][INFO] Epoch:[59/300]	 Test acc=76.830	 Test avg_spikes=0.000

[2025-10-02 23:23:56,649][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:23:59,933][main_train.py][line:80][INFO] Epoch:[60/300]	 loss=126.35577	 acc=73.716	 avg_spikes=0.000
[2025-10-02 23:24:00,445][main_train.py][line:84][INFO] Epoch:[60/300]	 Test acc=81.530	 Test avg_spikes=0.000

[2025-10-02 23:24:00,446][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:03,978][main_train.py][line:80][INFO] Epoch:[61/300]	 loss=127.33125	 acc=73.356	 avg_spikes=0.000
[2025-10-02 23:24:04,522][main_train.py][line:84][INFO] Epoch:[61/300]	 Test acc=82.550	 Test avg_spikes=0.000

[2025-10-02 23:24:04,522][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:07,849][main_train.py][line:80][INFO] Epoch:[62/300]	 loss=126.50141	 acc=73.610	 avg_spikes=0.000
[2025-10-02 23:24:08,356][main_train.py][line:84][INFO] Epoch:[62/300]	 Test acc=77.640	 Test avg_spikes=0.000

[2025-10-02 23:24:08,356][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:12,413][main_train.py][line:80][INFO] Epoch:[63/300]	 loss=125.67431	 acc=74.006	 avg_spikes=0.000
[2025-10-02 23:24:12,913][main_train.py][line:84][INFO] Epoch:[63/300]	 Test acc=75.420	 Test avg_spikes=0.000

[2025-10-02 23:24:12,913][main_train.py][line:91][INFO] Best Test acc=82.680
